Date,ADANIPORTS.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFC.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SBILIFE.NS,SHREECEM.NS,SUNPHARMA.NS,TATAMOTORS.NS,TATASTEEL.NS,TATACONSUM,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS
2018-09-06,380.3936767578125,1293.574951171875,637.4083862304688,2605.175048828125,2673.25927734375,6541.4912109375,337.79547119140625,297.2830810546875,2980.7763671875,656.5747680664062,231.9983062744141,1293.525634765625,2531.1123046875,2624.112060546875,1015.0588989257812,529.7656860351562,1881.373046875,1017.4972534179688,451.77978515625,2913.860595703125,231.40042114257807,1552.3450927734375,327.0522766113281,1870.1146240234373,672.905029296875,127.409423828125,283.3287048339844,378.5324401855469,1260.220703125,1275.4837646484375,918.15087890625,8562.326171875,9833.908203125,121.95789337158205,150.93655395507812,173.03436279296875,1238.025146484375,296.45001220703125,676.7908325195312,18053.185546875,659.1653442382812,269.95001220703125,570.226806640625,570.226806640625,570.226806640625,570.226806640625,570.226806640625,570.226806640625,570.226806640625,570.226806640625
2018-09-07,373.1278381347656,1295.051025390625,644.749267578125,2736.64599609375,2733.1162109375,6594.2451171875,353.4921264648437,300.0995788574219,2997.44970703125,659.20263671875,234.37022399902344,1290.0880126953125,2595.747314453125,2609.37841796875,1009.5941162109376,522.540283203125,1846.6048583984373,1019.8523559570312,449.3406982421875,3065.314453125,238.42893981933597,1581.440673828125,333.470947265625,1865.986328125,678.133544921875,127.24351501464844,283.0097045898437,385.93603515625,1244.2791748046875,1275.862548828125,956.20458984375,8522.59375,9939.521484375,122.42723083496094,148.68763732910156,169.90879821777344,1254.9066162109375,291.6499938964844,673.8506469726562,17813.7734375,646.3692626953125,277.3999938964844,588.132568359375,588.132568359375,588.132568359375,588.132568359375,588.132568359375,588.132568359375,588.132568359375,588.132568359375
2018-09-10,367.6908264160156,1272.5155029296875,650.9415893554688,2685.208984375,2605.085693359375,6341.8193359375,352.4033508300781,289.2961120605469,2932.439697265625,662.47509765625,228.6858367919922,1256.006591796875,2528.10498046875,2603.9970703125,1000.4370727539062,529.7169799804688,1811.5482177734373,1012.0186767578124,448.0962829589844,3018.31298828125,231.69532775878903,1553.9857177734375,331.2816162109375,1819.531982421875,676.3290405273438,125.29422760009766,279.4543762207031,380.8104553222656,1222.69091796875,1265.7314453125,920.5076904296876,8444.5927734375,9828.9130859375,122.17450714111328,145.87649536132812,169.95285034179688,1232.5780029296875,284.8500061035156,673.7509765625,17129.28125,620.8258056640625,275.70001220703125,582.9080810546875,582.9080810546875,582.9080810546875,582.9080810546875,582.9080810546875,582.9080810546875,582.9080810546875,582.9080810546875
2018-09-11,360.4744262695313,1277.18994140625,649.3435668945312,2652.5400390625,2590.245849609375,6356.505859375,343.6023254394531,284.2096862792969,2858.3583984375,649.4349365234375,231.5484771728516,1222.4652099609375,2489.20556640625,2553.646728515625,988.5230102539062,527.9653930664062,1796.6407470703125,991.8145141601562,443.9647521972656,2931.675537109375,227.6649932861328,1535.022705078125,324.9624938964844,1816.8958740234373,679.5216674804688,125.00391387939452,270.93084716796875,375.1154174804688,1205.75,1258.96142578125,926.2035522460938,8325.001953125,9560.0302734375,122.57164764404295,145.1412811279297,164.62393188476562,1214.764404296875,282.6000061035156,674.3489379882812,16902.623046875,613.4304809570312,267.29998779296875,562.4376220703125,562.4376220703125,562.4376220703125,562.4376220703125,562.4376220703125,562.4376220703125,562.4376220703125,562.4376220703125
2018-09-12,371.7438659667969,1270.44921875,634.6618041992188,2684.600341796875,2583.52294921875,6407.26123046875,341.78765869140625,280.9308166503906,2894.665283203125,650.9719848632812,230.2807159423828,1248.8857421875,2493.840087890625,2621.205322265625,1003.9324951171876,528.7926025390625,1806.01806640625,997.491455078125,434.6563720703125,2912.847412109375,235.07595825195312,1569.956787109375,321.3302307128906,1818.736083984375,687.480224609375,123.6767349243164,279.6822814941406,379.4341735839844,1229.7371826171875,1280.3599853515625,921.2933959960938,8302.4228515625,9851.46484375,122.7521743774414,145.74676513671875,170.7015380859375,1229.2901611328125,285.29998779296875,671.0599365234375,16746.75,632.4055786132812,262.3999938964844,575.2138671875,575.2138671875,575.2138671875,575.2138671875,575.2138671875,575.2138671875,575.2138671875,575.2138671875
2018-09-14,375.7475280761719,1312.666259765625,635.6106567382812,2693.5400390625,2661.4072265625,6703.69775390625,348.0481872558594,298.03973388671875,2941.245361328125,660.8389282226562,226.84555053710935,1305.85205078125,2545.804443359375,2673.202392578125,1047.354736328125,520.9590454101562,1851.8465576171875,1006.2920532226562,423.6555480957031,2933.931396484375,242.5363311767578,1572.3211669921875,326.7537536621094,1862.9525146484373,678.9664306640625,128.77809143066406,280.0013427734375,387.35980224609375,1238.8822021484375,1286.609130859375,934.7963256835938,8432.1796875,9833.8125,126.32644653320312,149.2498779296875,176.29470825195312,1229.9281005859375,290.6499938964844,667.8207397460938,17541.375,647.3424072265625,266.6000061035156,584.1904296875,584.1904296875,584.1904296875,584.1904296875,584.1904296875,584.1904296875,584.1904296875,584.1904296875
2018-09-17,376.4394836425781,1287.8182373046875,625.173583984375,2677.76708984375,2594.080322265625,6544.13916015625,346.641845703125,306.0267028808594,2897.6728515625,659.3514404296875,224.8825836181641,1340.3753662109375,2532.640625,2698.671142578125,1048.8316650390625,524.7055053710938,1807.0279541015625,987.7488403320312,411.1116638183594,2879.84033203125,238.48501586914065,1549.3052978515625,324.1166381835937,1867.18017578125,671.7945556640625,129.8563995361328,275.3065490722656,390.9192199707031,1229.7371826171875,1273.2586669921875,933.76513671875,8345.283203125,9681.1982421875,124.37684631347656,148.51466369628906,177.8361053466797,1203.18310546875,285.29998779296875,640.511962890625,17397.06640625,630.7012939453125,260.25,585.5203247070312,585.5203247070312,585.5203247070312,585.5203247070312,585.5203247070312,585.5203247070312,585.5203247070312,585.5203247070312
2018-09-18,375.2037963867188,1271.531494140625,607.8450927734375,2596.469482421875,2560.018310546875,6521.80908203125,339.06573486328125,298.5442199707031,2919.158447265625,658.1614379882812,223.45123291015625,1355.206298828125,2548.072021484375,2629.224853515625,1050.4564208984375,527.3815307617188,1784.762939453125,986.2613525390624,408.8218688964844,2864.695068359375,231.3704833984375,1606.7244873046875,317.2999572753906,1852.3585205078125,665.45556640625,126.57994842529295,276.4460754394531,386.45806884765625,1214.645263671875,1257.3045654296875,929.5424194335938,8209.759765625,9746.3740234375,122.53556060791016,150.41757202148438,175.19366455078125,1194.59521484375,273.79998779296875,620.9273071289062,16779.1953125,627.090087890625,251.5,582.0531616210938,582.0531616210938,582.0531616210938,582.0531616210938,582.0531616210938,582.0531616210938,582.0531616210938,582.0531616210938
2018-09-19,368.1356506347656,1270.7935791015625,608.0448608398438,2611.7275390625,2489.45458984375,6306.44970703125,335.7539978027344,306.9094543457031,2867.910400390625,655.0873413085938,229.54461669921875,1366.35400390625,2570.701904296875,2584.660400390625,1051.78564453125,529.0358276367188,1760.67041015625,972.4531860351562,398.31884765625,2903.82470703125,232.8526611328125,1589.4986572265625,319.3897399902344,1795.1607666015625,666.05712890625,127.36795043945312,273.1642761230469,395.85491943359375,1226.239013671875,1262.0386962890625,931.8502197265624,8025.216796875,9652.6064453125,122.1384048461914,154.29678344726562,174.66519165039062,1188.3138427734375,271.5,610.4124145507812,16978.869140625,633.2877197265625,252.6000061035156,590.079833984375,590.079833984375,590.079833984375,590.079833984375,590.079833984375,590.079833984375,590.079833984375,590.079833984375
2018-09-21,357.6076354980469,1283.980224609375,598.456787109375,2620.24560546875,2369.789794921875,6254.14697265625,336.16229248046875,316.5358581542969,2786.515380859375,647.7490844726562,225.1279296875,1363.2110595703125,2520.561767578125,2541.874755859375,1034.9976806640625,527.8680419921875,1769.0860595703125,976.8658447265624,386.5216064453125,2923.389404296875,237.5462951660156,1564.6009521484375,315.5584411621094,1753.1826171875,652.68505859375,131.18359375,277.0841979980469,387.2648620605469,1179.5640869140625,1259.0087890625,942.652587890625,7858.85498046875,9276.3984375,121.48855590820312,157.2606658935547,176.51487731933594,1194.9385986328125,270.6000061035156,611.3093872070312,16726.314453125,619.67236328125,250.3500061035156,593.8319702148438,593.8319702148438,593.8319702148438,593.8319702148438,593.8319702148438,593.8319702148438,593.8319702148438,593.8319702148438
